Timestamp,Chat,Sender,Message
"2025-03-15 05:00:02","Смыслы самоочевидного","Frog1991","Не будет атомного конфликта.
Применение атомного оружия возможно но потом и тактическое"
"2025-03-15 04:27:09","Смыслы самоочевидного","Евгения Кузнецова","[Photo] На подоконнике во Владивостоке."
"2025-03-15 03:14:47","Специалисты Черногория 🇲🇪","Miloš","[Photo] Всем привет,
хочу предложить Вам услуги по перевозке пассажиров.
C территории Герцег-Нови по всем направлениям Черногории, трансферы в/из аэропорта, экскурсии.  

  Профессиональный водитель, безопасность и роскошный автомобиль Mercedes-Benz E-класса.

     ☎️ +38269222393

  ✈️WhatsApp, Viber✈️

  #трансфер #поездка #аэропорт #роскошь #транспорт"
"2025-03-15 02:55:25","Смыслы самоочевидного","Татьяна","Справедливо! Даже очень... Я подумаю над этим завтра! Очень тонко. Спасибо за информацию!!! Без иронии! Справедливо!"
"2025-03-15 02:34:15","Смыслы самоочевидного","Stewie Griffin","В ядерном конфликте выигрывает тот, кто меньше всего в нем участвует. То есть, абсолют суверенитета и принципиальность в войне - стали инструментом для третьих сторон.
Вот это соображение - то самое, что нас пока отделяет от большой войны. Вроде бы, это все поняли, и сейчас стараются отползти.

P.S. Эти абсолют и принципиальность были основами мировой системы безопасности с 1960-х до 2010-х. Так что..."
"2025-03-15 02:27:41","Смыслы самоочевидного","Татьяна","Всё это сверху будет покрыто ядерным конфликтом, который всё на ноль помножит... Для всех.... Не будет ни красных линий, ни чёрных лебедей... И акторы об этом знают, знают и степень отвестсвенности... Оттого и не желают новых членов клуба..."
"2025-03-15 02:22:10","Черногория 🇲🇪 TravelAsk","Dvd Dvd","Впрочем сейчас везде так, цивилизация 🤦"
"2025-03-15 02:21:38","Смыслы самоочевидного","Anna Gorbunova","[Media] https://t.me/balkanist2019/14726"
"2025-03-15 02:21:19","Черногория 🇲🇪 TravelAsk","Ivan","Наверное устаревшая информация, либо бычки не считаются за мусор"
"2025-03-15 02:21:03","Черногория 🇲🇪 TravelAsk","Dvd Dvd","Европейцы придумали"
"2025-03-15 02:20:54","Черногория 🇲🇪 TravelAsk","Dvd Dvd","В Черногории почти все пляжи имели отметку что они чистые по моему голубой флаг назвалось"
"2025-03-15 02:19:48","Черногория 🇲🇪 TravelAsk","Ivan","Что это значит?"
"2025-03-15 02:19:33","Черногория 🇲🇪 TravelAsk","Dvd Dvd","А как же голубые флаги ?"
"2025-03-15 02:18:59","Смыслы самоочевидного","Stewie Griffin","Множественность вариаций поможет. В общем, так естественнонаучное познание и работает) Да, в единственной малой части - нет целого. А во множестве разных малых частей - оно есть. Чешуя, шерсть, перья и волосы - не говорят нам о том, из кого они расли. Сначала. А вот понять общие принципы устройства биологической терморегуляции и защиты - вполне могут. В каждой чешуйке и в каждом волосе этих принципов нет)"
"2025-03-15 02:18:57","Черногория 🇲🇪 TravelAsk","Ivan","Плюсом идёт само собой обилие прокладок в переодевалке, которая зачастую используется как туалет"
"2025-03-15 02:17:55","Черногория 🇲🇪 TravelAsk","Dvd Dvd","А мне сутоморе очень нравится, своим расположение, почти по середине. До всех мест примерно равное расстояние хочешь в Герцег хочешь в Ульцинь. Хочешь в Подгорицу. И кстати сербов почти не осталось продали почти все. У меня в округе из соседей по моему один серб остался."
"2025-03-15 02:17:20","Черногория 🇲🇪 TravelAsk","Ivan","В Сутоморе, да и вообще по всем черногорским пляжам кучи бычков и мусора. Души также ужасающие, в Сутоморе нужно подняться по доске на какую-то платформу и потом палкой двигать ручку, включающую ледяную воду"
"2025-03-15 02:06:39","Смыслы самоочевидного","Stewie Griffin","Не только вы ожидаете.  Но, ожидая это, у меня сложилось впечатление, что главные акторы тоже давно ожидают и противодействуют..."
"2025-03-15 01:54:43","Смыслы самоочевидного","Артур","Интервью с Шелестом: 
Беднее станут все - 9 февраля 2023г.
Бои без правил за правила! - 1 апреля 2023г.
США разъедает изнутри! - 4 мая 2023г.
Решающая схватка кланов в США!  - 21 июня 2023г.
Язык сделки Украины и Запада! - 15 июля 2023г.
На переосмысление Украины есть полгода! - 3 августа 2023г.
Украина идет ва-банк! - 30 августа 2023г.
Вопрос ""ЗАЧЕМ?"" запрещен! - 23 сентября 2023г.
Боливар не выдержит двоих. - 12 октября 2023г.
Запад внезапно увидел: Украина не сможет! - 2 ноября 2023г.
""ГЕНЕТИЧЕСКИЕ РАБЫ"" будут мстить! - 22 ноября 2023г.
Стратегические РЕШЕНИЯ приняты! - 13 декабря 2023г.
Период ВОЙН только начинается! - 28 декабря 2023г.
Путь СМЕРТИ: Китай отмахнулся от Украины. - 19 января 2024г.
Предел Путина. Игра Такера. - 10 февраля 2024г.
ГЛАВНЫЙ ПРИЗ: раздел ГЕРМАНИИ! - 14 марта 2024г.
Биодроны и СМЕРТЬ правил. - 3 апреля 2024г.
Анестезия к ЛЕТНЕМУ КАТАРСИСУ. - 24 апреля 2024г.
ДЫХАНИЕ МАЯ: цена станет НЕПОДЪЕМНОЙ! - 10 мая 2024г.
Рабы НАДСТРОЙКИ: США в ДВОЙНОЙ петле! - 29 мая 2024г.
Год ПЕРЕЛОМА: пути назад НЕТ! - 15 июня 2024г.
ДЕБАТЫ дерганного ВЕКА: соблазн Трампа и время Байдена. - 26 июня 2024г.
Аффект КУРСКА. Щелин: условия станут ЖЕСТЧЕ! - 19 августа 2024г.
Мечта о ФИОЛЕТОВОМ ЛУЧЕ. - 4 сентября 2024г.
Гвоздь в КРЫШКУ ГРОБА! Треск сильнее: все обрушится ВНЕЗАПНО! - 26 сентября 2024г.
План УБИТЬ РОССИЮ УКРАИНОЙ: лапша на ушах - дело техники! - 10 октября 2024г.
От Украины УСТАЛИ! - Щелин. Путин снес мирные планы.  - 25 октября 2024г.
ИГРЫ В БЛЕФ! Сделка Трампа: на ЭТО Путин никогда НЕ ПОЙДЁТ! - 12 ноября 2024г.
Тайные угрозы. Щелин: МИРА через силу НЕ БУДЕТ! - 30 ноября 2024г.
МЁРТВОЕ НУТРО ВЛАСТИ: ЧАС РАСПЛАТЫ НАСТАЛ! - 10 декабря 2024г.
Не дошло через голову, 2025-й постучит через печень - 24 декабря 2024г.
Трамп-РАЗРУШИТЕЛЬ против Британской Короны!  - 11 января 2025г.
ТРАМП: МИССИЯ МЕССИИ. Шторм на ТРИ МЕСЯЦА! - 27 января 2025г.
Чёрная Русь и Рок Триединства. - 11 февраля 2025г.
Матрёшка КОЗЛОВ ОТПУЩЕНИЯ. Трамп презирает Зеленского - 22 февраля 2025г.
КРЕПОСТЬ СРЕДИ ОГНЯ: час расплаты. Щелин: УКРАИНЦЫ ХОТЯТ НЕ МИРА - 6 марта 2025г."
"2025-03-15 01:22:39","Смыслы самоочевидного","Татьяна","Ну дак и что?.... Как будто бы мир сегодня  формируется вокруг сакральных ценностей..... Вокруг экономик... Ближний Восток - саттелиты.... Сами согласились..."
"2025-03-15 01:19:02","Черногория 🇲🇪 TravelAsk","Jane Vern","Но вообще, да, подорожало. Я приехала прошлым летом в августе, тоскливо посмотрела на лежаки по €20, умножила на 2 недели, и жаба задавила. Пошла на рынок и купила коврик))"
"2025-03-15 01:09:47","Черногория 🇲🇪 TravelAsk","Jane Vern","Мне особо сравнить не с чем, я надолго нигде, кроме сутоморе не оседала. Ну так, тут и там на день туда, на день сюда. Не будь у меня там дома, не знаю, стала ли бы так часто ездить.

Мне нравится Сутоморе в мае и в сентябре. Но я еще и не самый типичный турист. У меня настолько бешеный ритм жизни, что в отпуске мне не хочется никуда ходить, ничего смотреть, а хочется чисто лежать. В идеале, если еще кто-нибудь алкоголь у меня в руке с равными интервалами обновляет"
"2025-03-15 00:55:50","Книги","Flibusta Book — Книги","[Document] Михаил Юрьевич Лермонтов-Стихи"
"2025-03-15 00:55:48","Книги","Flibusta Book — Книги","Стихи - ru
Михаил Юрьевич Лермонтов

#Поэзия"
"2025-03-15 00:55:48","Книги","Марианна Дорогинская","/download176342"
"2025-03-15 00:55:43","Книги","Flibusta Book — Книги","[Document] Архимандрит Тихон  (Шевкунов)-«Несвятые святые» и другие рассказы"
"2025-03-15 00:55:43","Книги","Flibusta Book — Книги","⚠️Внимание, бот лучше работает в личных группах.⚠️
Создать свою собственную группу легко по этой инструкции

Найдено: 12 книг

Стихи. Сказка «Ашик-Кериб» - ru
(Сборник] [1964] [худ. Ладягин В.)
Книга за книгой, Ашик-Кериб (версии)
Михаил Юрьевич Лермонтов, Надежда Сергеевна Шер, Владимир Иванович Ладягин...
Скачать книгу: /download651046

Стихи - ru
Михаил Юрьевич Лермонтов
Скачать книгу: /download176342

За всё, за всё тебя благодарю я. Лучшие стихи Золотого века о любви - ru
Антология поэзии (2012), Стихи о любви
Константин Николаевич Батюшков, Николай Михайлович Языков, Николай Михайлович Карамзин...
Скачать книгу: /download398472

Рождественские стихи - ru
Антология поэзии (2016), Рождественские чудеса
Юргис Казимирович Балтрушайтис, Владимир Григорьевич Бенедиктов, Саша  Черный...
Скачать книгу: /download493985

Письма к Лермонтову, упомянутые в «Деле о непозволительных стихах» - ru
Михаил Юрьевич Лермонтов
Скачать книгу: /download144510



👇
   👇
      👇
✅ Книга, которую Вы сейчас искали в ➡️ @book_saverobot 📚📚📚"
"2025-03-15 00:55:43","Книги","Марианна Дорогинская","Михаил Лермонтов стихи"
"2025-03-15 00:55:42","Книги","Flibusta Book — Книги","«Несвятые святые» и другие рассказы - ru
Зеленая серия надежды (1)
Архимандрит Тихон  (Шевкунов)

#БиографииИМемуары #РелигияРелигиознаяЛитература

Книга архимандрита Тихона (в миру — Георгия Шевкунова), представляет собой сборник реальных историй, иногда — грустных, иногда смешных, иногда — трогательных. Автор не стремится идеализировать своих героев, тем не менее, их человечность, духовность, теплота — эти качества необычайно важны писателю. Недаром эти истории используются отцом Тихоном в проповедях и беседах. Несмотря на то, что книга о людях «пришедших в монастырь», она заинтересует не только читателей разных убеждений и конфессий, но и просто светских людей.
    2-е издание, исправленное."
"2025-03-15 00:55:41","Книги","Анна","/download258447@flibustafreebookbot"
"2025-03-15 00:55:34","Черногория 🇲🇪 TravelAsk","Sergey Chе","Сутоморе был рассчитан на бюджетный отдых. Нынешние цены на проживание и пляжные «услуги»  такими не назвать. А инфраструктура не развивается. 
Другое дело что в сторону Петроваца цены еще больше, а за Будвой они просто перестают быть вменяемыми… 
Ничего личного, но я бы никогда не рассматривал Черногорию как место для пляжного отдыха."
"2025-03-15 00:55:34","Книги","Flibusta Book — Книги","⚠️Внимание, бот лучше работает в личных группах.⚠️
Создать свою собственную группу легко по этой инструкции

Найдено: 2 книги

Несвятые святые женщины - ru
Рассказы о святых и верующих
Архимандрит  Феофан
Скачать книгу: /download520577

«Несвятые святые» и другие рассказы - ru
Зеленая серия надежды (1)
Архимандрит Тихон  (Шевкунов)
Скачать книгу: /download258447



👇
   👇
      👇
✅ Книга, которую Вы сейчас искали в ➡️ @book_saverobot 📚📚📚"
"2025-03-15 00:55:34","Книги","Анна","Несвятые святые"
"2025-03-15 00:55:30","Книги","Flibusta Book — Книги","⚠️Внимание, бот лучше работает в личных группах.⚠️
Создать свою собственную группу легко по этой инструкции

Найдено: 200 книг

Озорной Лермонтов - ru
Михаил Юрьевич Лермонтов
Скачать книгу: /download397970

Владимир Лермонтов - об авторе - ru
Владимир Юрьевич Лермонтов
Скачать книгу: /download32705

Лермонтов - ru
Александр Алексеевич Долинин
Скачать книгу: /download13567

Лермонтов - ru
Владимир Сергеевич Соловьев
Скачать книгу: /download53309

Лермонтов - ru
Алла Максимовна Марченко
Скачать книгу: /download179076



👇
   👇
      👇
✅ Книга, которую Вы сейчас искали в ➡️ @book_saverobot 📚📚📚"
"2025-03-15 00:55:30","Книги","Марианна Дорогинская","Лермонтов"
"2025-03-15 00:50:20","Черногория 🇲🇪 TravelAsk","Sergey Chе","Если рассматривать как место для матрасного отдыха - вполне. Есть красивый старый город (по мне он даже интереснее Будванского). Кухня ближе к турецкой. Цены ниже. Но если хочется поездить по стране - слишком далеко. В некоторые периоды только до туннеля Созина (за Сутоморе) часа 3 можно тащиться."
"2025-03-15 00:46:15","Смыслы самоочевидного","Alysikа","Да. Эти принципы экономят время и силы. 

Ещё мне нравится 
""первое правило метафизики гласит: то, что можно объяснить без метафизики - объясняем без метафизики""))

Природа экономична. Обычно выбирает самый оптимальный способ реализации. 

Если путь длинный, то вероятно или мы идём неправильным путём, или же это и есть самый короткий путь))"
"2025-03-15 00:35:57","Смыслы самоочевидного","Анастасия Митро","[Media] https://elementy.ru/trefil/34/Britva_Okkama

Прочитала, интересный принцип, при этом не исключающий того, что более сложное объяснение тоже может быть правильным (истинным)"
"2025-03-15 00:32:30","Черногория 🇲🇪 TravelAsk","Sevda Stanoević","Ульцинь община ислама. Отдельное государство в государстве Черногория по многим историческим и современным обстоятельствам. Если не раздражает специфика региона,то место интересное для отдыха. Сербов и русских практически нет. Немцы,турки,косовары. 
Сутоморе это место паломничества сербов «томатных туристов». Тех самых что едут со своей едой. Как по мне-плохое место для отдыха. Худшее на берегу."
"2025-03-15 00:32:16","Черногория 🇲🇪 TravelAsk","Aleksandr","Подскажите  пожалуйста где в бечечи есть хороший интернет и сколько стоит"
"2025-03-15 00:29:56","Черногория чат🇲🇪","Konstantin Skavitin","[Photo] Мы рады пригласить вас на Animal Welfare Fest 2025! 🥳

Animal Welfare Fest - это фестиваль, посвященный заботе о бездомных и домашних животных. Мы собираем всех, кто любит животных, приглашаем экспертов, активистов и ветеринаров, чтобы обсудить важные вопросы, найти решения и помочь тем, кто в этом нуждается.🫶

Когда и где?
📅 Дата: 4 апреля 2025 г.
📍 Место проведения: Будва, место будет объявлено в ближайшее время.

Но это еще не все! В 18:00 вы сможете стать свидетелями чего-то по-настоящему особенного. Не пропустите эксклюзивную презентацию, которая покажет будущее, где технологии и забота о животных идут рука об руку. Мы представим TailBook, инновационное приложение, которое меняет жизнь бездомных животных, и уникальный сервис FreeVet, предлагающий ветеринарные онлайн-консультации 🥳
Узнайте, как вы можете помочь животным в своем районе с помощью новых технологий и этого важного проекта🧡

Что вас ждет?
🐾 Лекции и мастер-классы от экспертов по защите животных
🐶 Ярмарка усыновления: найдите себе четвероногого друга.
🎁 Ярмарка товаров и услуг для животных
💡 Дискуссии о проблемах бездомных животных и их решениях
🎨 Интерактивные зоны и развлечения для всей семьи
🫴 Благотворительный сбор средств в помощь приютам
🤝 Неформальное общение, налаживание контактов и многое другое!

Как принять участие?
📌 Вход свободный, но необходима регистрация. Пожалуйста, заполните регистрационную форму🙏🏻

📌 Хотите стать партнером, волонтером или предложить свою инициативу? Напишите нам!
📩 Контакт: tailbookme@gmail.com
🌍 Следите за новостями: https://instagram.com/tailbookme.

Подробная информация о AWF 2025, возможностях участия и ключевых событиях доступна на нашем сайте: https://tailbook.me/awf.

Вместе мы сможем создать лучшую жизнь для животных: полную заботы и любви!

Не упустите шанс стать частью этого масштабного события и внести свой вклад в дело защиты животных. Мы будем рады видеть вас на Animal Welfare Fest! 🧡"
"2025-03-15 00:27:15","Черногория чат🇲🇪","dmitry","[Photo] Продам iPhone 13 Pro Max, память 512 Gb. Серебристый. В отличном состоянии. Батарея 88%. 
+ чехлы
Будва
Цена 600€
#Продам, #Будва"
"2025-03-15 00:27:09","Смыслы самоочевидного","Alysikа","Отсекаем лишнее 
Их три. Но здесь подходят бритва Оккама и бритва Хитченса 

Если коротко -  
1. Не множим сущности,
2. Бремя доказательств лежит на утверждающем)"
"2025-03-15 00:25:25","Черногория 🇲🇪 TravelAsk","Анастасия","Спасибо:)"
"2025-03-15 00:23:32","Черногория 🇲🇪 TravelAsk","SNOWFLAKE","Собственно, выбор не огромный, но 1 вид может быть. Раньше и в Воли большом был, но давно не видела.🤷‍♀"
"2025-03-15 00:23:21","Черногория чат🇲🇪","Даня.","[Photo] Продам: 
Lego BOOST 17101
Цена: 200 евро 
#будва"
"2025-03-15 00:23:07","Смыслы самоочевидного","I","Ещё раз большое Вам спасибо🤗🤗

В эфире сегодня Кость назвал Павла большой умницей😊😍😍😍😇"
"2025-03-15 00:22:28","Смыслы самоочевидного","Анастасия Митро","Всё что я написала это аналогия английского математика и философа Бертрана Рассела. Называется Чайник Рассела

Сейчас почитаю про принцип бритв"
"2025-03-15 00:21:32","Черногория 🇲🇪 TravelAsk","SNOWFLAKE","Монтефиш, Когимар."
"2025-03-15 00:13:30","Смыслы самоочевидного","Анастасия Митро","Конечно, я имела в виду изображение цветка:) не буду же я каждый раз писать «изображение цветка» 

Но я понимаю, что вы имели в виду)) да, абсолютная истина заключается в том, что цветка на кружке нет, а есть только изображение цветка))"
"2025-03-15 00:13:28","Смыслы самоочевидного","Alysikа","Как там у Пелевина?

""Руки Аллаха есть только в сознании Будды. Но вся фишка в том, что сознание Будды все равно находится в руках Аллаха."""
"2025-03-15 00:07:55","Черногория 🇲🇪 TravelAsk","Jane Vern","Так я и катаюсь туда время от времени - приеду, все там подчищу, счета оплачу, поброжу, у моря посижу, мозги как-то и пободрее стали)"
"2025-03-15 00:07:41","Смыслы самоочевидного","Анастасия Митро","Аллах либо есть, либо его нет. Вот и всё. (если мы конечно говорим про абсолютную истину) Какие еще точки зрения тут могут существовать? И вы придерживаетесь либо первого, либо второго"
"2025-03-15 00:03:35","Черногория 🇲🇪 TravelAsk","Jane Vern","Вот у меня примерно та же ситуация. Дом раньше был бабушкин, она в Россию год назад вернулась, а дом на меня переписала - я в Берлине, мне проще всех добраться, если вдруг что"
"2025-03-15 00:01:26","out of homeland","Adel Sh","Да мы тоже пили таблетки и терпели побочки, хоть и не критичные.

И уже там узнали что можно было быть проще 😂

Когда соберусь ещё в Африку, пить их точно не буду."
"2025-03-14 23:58:28","Смыслы самоочевидного","Анастасия Митро","Смотрите.

Например, я утверждаю, что между Землёй и Марсом вокруг Солнца по эллиптической орбите вращается фарфоровый чайник. Мне говорят, мы пытались найти ваш чайник, Анастасия, с помощью науки (например, можно использовать мощные телескопы).

Я говорю: чайник слишком мал, чтобы обнаружить его даже при помощи самых мощных телескопов (чайник размером с зернышко пшеницы). Ищите, дорогие ученые) 

Любой из вас сейчас скажет мне – ну Настя, это чушь. Но если бы существование такого чайника утверждалось в древних книгах и в него верило бы какое-то приличное количество людей, то неверие в его существование было бы уже не такой нормой, как несколько строк тому назад. 

Поэтому для меня Иисус Христос, Аллах, боги Олимпа или Валгаллы примерно на одном уровне с фарфоровым чайником... я могу утверждать существование ЧЕГО УГОДНО и КОГО УГОДНО (люди этим и занимаются успешно с незапамятных времен) 

То есть понимаете Андрей у меня такие же основания не верить в Бога, в которого верите вы, как и у вас не верить в существование моего чайника. Ни вы не можете доказать мне, что ваш Бог есть, ни я не могу доказать вам, что мой чайник есть. 

Вы говорили о том, что на объект можно посмотреть с разных сторон. Я могу привести вам такой же пример. Есть кружка. На одной стороне кружки есть цветок, а на другой нет. Вы смотрите со своей стороны и видите цветок, я смотрю со своей и не вижу его. Но абсолютная истина заключается в том, что цветок существует. Но пока я не перейду на вашу сторону и не увижу его, или вы не повернете сторону с цветком в мою сторону я не смогу до конца быть уверенной, что цветок там есть."
"2025-03-14 23:54:12","Черногория 🇲🇪 TravelAsk","Владимир Никитин","Просто мы ездили раньше именно в этот городок. У сына дом пустует там, зарастает участок дикой розой, бананами и олеандром. Каждый раз все приходиться вырезать и выносить на мусорку. Сам то он в США живет."
"2025-03-14 23:49:14","Черногория 🇲🇪 TravelAsk","Jane Vern","Я там бывала скорее проездом, чем фундаментально. Мне показалось, примерно то же самое, что и в сутоморе"
"2025-03-14 23:47:49","Черногория 🇲🇪 TravelAsk","Владимир Никитин","А что можете сказать про Ульцин? Как вам эта локация?"
"2025-03-14 23:46:22","Черногория чат🇲🇪","YVI SWEETS Montenegro","[Photo] Продам коляску Бар. Цена договорная 
+38268638098"
"2025-03-14 23:43:13","Черногория 🇲🇪 TravelAsk","Jane Vern","Мать когда-то давно была замужем за черногорцем, я из разговоров с ним так поняла, что кошки-собаки это у них навроде крыс. Ну то есть никого они особо не удивляют, но подкармливать или лечить их точно никому в голову не придет."
"2025-03-14 23:42:46","Смыслы самоочевидного","Андрей Т","Да, такое случается с людьми. Разумное начало мироздания умеет входить в нашу жизнь через разные двери, даже если мы уверены, что в нашей келье есть только одна дверь, и та открывается лишь на выход )"
"2025-03-14 23:42:40","Черногория 🇲🇪 TravelAsk","Dvd Dvd","Скажите а что про визы слышно ?"
"2025-03-14 23:39:36","Смыслы самоочевидного","Анастасия Митро","Попробую разобраться в том, что вы написали, пока сложно для понимания"
"2025-03-14 23:39:25","Черногория 🇲🇪 TravelAsk","Dvd Dvd","Да черногорцы такие я все время удивлялся что столько раздавленых на дороге, а потом мне сказали что местные если увидят обязательно раздавят."
"2025-03-14 23:38:58","out of homeland","Настя Перкина","А, ну вот те таблетки стоили 78€ мне, так что ваш сценарий точно более выгодная сделка"
"2025-03-14 23:38:09","Черногория 🇲🇪 TravelAsk","Dvd Dvd","А про албанию первый раз слышу"
"2025-03-14 23:37:53","Черногория 🇲🇪 TravelAsk","Dvd Dvd","Раньше в магазинах были трюфеля и сыры но вообще трюфельный рай это Хорватия"
